ViewID	SpeciesID	SubspeciesID	Family	Mnemonic	Genus	SpeciesName	Rank	Subspecies	Authority	IDLevel	subspMnemonic	subspAuthority	FieldFamily	Lifeform	Description	wsg	wsglevel	ListOfOldNames	Specimens	Reference
66	121	NULL	Rubiaceae	HAMAXI	Hamelia	axillaris	NULL	NULL	Sw.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.6175	species	NULL	NULL	NULL
67	122	NULL	Melastomataceae	HENFAS	Henriettea	fascicularis	NULL	NULL	(Sw.) M. Gómez	species	NULL	NULL	Melastomataceae	NULL	NULL	0.479899	species	NULL	NULL	NULL
68	123	NULL	Melastomataceae	HETCYM	Clidemia	eggersii	NULL	NULL	(Cogn.) F.S. Axelrod	species	NULL	NULL	Melastomataceae	NULL	NULL	0.670511	family	NULL	NULL	NULL
69	124	NULL	Malvaceae	HIBTIL	Talipariti	tiliaceum	NULL	NULL	(L.) Fryxell	species	NULL	NULL	Malvaceae	NULL	NULL	0.475734	family	NULL	NULL	NULL
70	125	NULL	Chrysobalanaceae	HIRRUG	Hirtella	rugosa	NULL	NULL	Pers.	species	NULL	NULL	Chrysobalanaceae	NULL	NULL	0.885519	species	NULL	NULL	NULL
71	126	NULL	Salicaceae	HOMRAC	Homalium	racemosum	NULL	NULL	Jacq.	species	NULL	NULL	Salicaceae	NULL	NULL	0.793889	species	NULL	NULL	NULL
72	127	NULL	Aquifoliaceae	ILESID	Ilex	sideroxyloides	NULL	NULL	(Sw.) Griseb. 	species	NULL	NULL	Aquifoliaceae	NULL	NULL	0.755488	species	NULL	NULL	NULL
73	128	NULL	Fabaceae-mimosoideae	INGLAU	Inga	laurina	NULL	NULL	(Sw.) Willd.	species	NULL	NULL	Fabaceae	NULL	NULL	0.653333	species	NULL	NULL	NULL
74	129	NULL	Fabaceae-mimosoideae	INGVER	Inga	vera	NULL	NULL	Willd.	species	NULL	NULL	Fabaceae	NULL	NULL	0.58	species	NULL	NULL	NULL
75	130	NULL	Rubiaceae	IXOFER	Ixora	ferrea	NULL	NULL	(J.F. Gmel.) Benth.	species	NULL	NULL	Rubiaceae	NULL	NULL	0.65	species	NULL	NULL	NULL
76	131	NULL	Salicaceae	LAEPRO	Laetia	procera	NULL	NULL	(Poepp.) Eichler	species	NULL	NULL	Salicaceae	NULL	NULL	0.647255	species	NULL	NULL	NULL
77	132	NULL	Fabaceae-papilionoideae	LONLAT	Lonchocarpus	heptaphyllus	NULL	NULL	(Poir.) DC.	species	NULL	NULL	Fabaceae	NULL	NULL	0.68675	species	NULL	NULL	NULL
78	133	NULL	Onagraceae	LUDOCT	Ludwigia	octovalvis	NULL	NULL	(Jacq.) P.H. Raven	species	NULL	NULL	Onagraceae	NULL	NULL	0.696	family	NULL	NULL	NULL
79	134	NULL	Rhamnaceae	MAEEMI	Maesopsis	eminii	NULL	NULL	Engl.	species	NULL	NULL	Rhamnaceae	NULL	NULL	0.3835	species	NULL	NULL	NULL
80	135	NULL	Magnoliaceae	MAGSPL	Magnolia	splendens	NULL	NULL	Urb.	species	NULL	NULL	Magnoliaceae	NULL	NULL	0.585	species	NULL	NULL	NULL
81	136	NULL	Malpighiaceae	MALFUR	Malpighia	fucata	NULL	NULL	Ker Gawl.	species	NULL	NULL	Malpighiaceae	NULL	NULL	0.569233	genus	NULL	NULL	NULL
82	137	NULL	Sapotaceae	MANBID	Manilkara	bidentata	NULL	NULL	(A. DC.) A. Chev.	species	NULL	NULL	Sapotaceae	NULL	NULL	0.872014	species	NULL	NULL	NULL
83	138	NULL	Anacardiaceae	MANIND	Mangifera	indica	NULL	NULL	L.	species	NULL	NULL	Anacardiaceae	NULL	NULL	0.555828	species	NULL	NULL	NULL
